C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S0_ReparodeComputadorDS_Estruturado.json - _0_0_0_1_0_0_0
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S1_ReparodeComputadorDS_Estruturado.json - _0_0_0_2_0_0_0
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S2_ReparodeComputadorDS_Estruturado.json - _0_0_0_0_0_0_0
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S3_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S4_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S5_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S6_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S7_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S8_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S9_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S10_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S11_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S12_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S13_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S14_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S15_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S16_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S17_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S18_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S19_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S20_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S21_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S22_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S23_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S24_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S25_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S26_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S27_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S28_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S29_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S30_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S31_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S32_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\ReparodeComputadorDS_Estruturado\S33_ReparodeComputadorDS_Estruturado.json - GENERATION FAIL
