C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S0_proc_SuporteTecnicoDS_Estruturado.json - _0_0_0_0_2_0
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S1_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S2_proc_SuporteTecnicoDS_Estruturado.json - _0_0_0_0_1_0
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S3_proc_SuporteTecnicoDS_Estruturado.json - _0_0_0_0_0_0
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S4_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S5_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S6_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S7_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S8_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S9_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S10_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S11_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\estruturado\deepseek\proc_SuporteTecnicoDS_Estruturado\S12_proc_SuporteTecnicoDS_Estruturado.json - GENERATION FAIL
