C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S0_ReparoComputadorSimplesDS.json - _0_0_0_2_0_0_0
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S1_ReparoComputadorSimplesDS.json - _0_0_0_1_0_0_0
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S2_ReparoComputadorSimplesDS.json - _0_0_0_0_0_0_0
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S3_ReparoComputadorSimplesDS.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S4_ReparoComputadorSimplesDS.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S5_ReparoComputadorSimplesDS.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S6_ReparoComputadorSimplesDS.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S7_ReparoComputadorSimplesDS.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S8_ReparoComputadorSimplesDS.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S9_ReparoComputadorSimplesDS.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S10_ReparoComputadorSimplesDS.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S11_ReparoComputadorSimplesDS.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S12_ReparoComputadorSimplesDS.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S13_ReparoComputadorSimplesDS.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S14_ReparoComputadorSimplesDS.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S15_ReparoComputadorSimplesDS.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S16_ReparoComputadorSimplesDS.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S17_ReparoComputadorSimplesDS.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S18_ReparoComputadorSimplesDS.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S19_ReparoComputadorSimplesDS.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S20_ReparoComputadorSimplesDS.json - GENERATION FAIL
C:\Users\1182338\eclipse-workspace\oraculus\ALINE-ABPMN\simples\deepseek\ReparoComputadorSimplesDS\S21_ReparoComputadorSimplesDS.json - GENERATION FAIL
